Date,TeamA,TeamB,ScoreA,ScoreB,Sex,TournamentName,year,Venue,WinningTeam
2006/01/18,Tunisia,Congo,24,21,W,AfricanChampionship,2006,Tunisia,Tunisia
2006/01/18,Angola,Ivory Coast,29,28,W,AfricanChampionship,2006,Tunisia,Angola
2006/01/19,Cameroon,DR Congo,31,27,W,AfricanChampionship,2006,Tunisia,Cameroon
2006/01/19,Congo,Ivory Coast,22,15,W,AfricanChampionship,2006,Tunisia,Congo
2006/01/20,Angola,Tunisia,32,30,W,AfricanChampionship,2006,Tunisia,Angola
2008/01/08,Congo,Gabon,30,14,W,AfricanChampionship,2008,Angola,Congo
2008/01/08,Angola,Algeria,42,24,W,AfricanChampionship,2008,Angola,Angola
2008/01/11,Algeria,Gabon,21,20,W,AfricanChampionship,2008,Angola,Algeria
2008/01/11,Angola,Congo,35,30,W,AfricanChampionship,2008,Angola,Angola
2008/01/12,Angola,Gabon,33,9,W,AfricanChampionship,2008,Angola,Angola
2008/01/12,Congo,Algeria,28,25,W,AfricanChampionship,2008,Angola,Congo
2008/01/10,Ivory Coast,DR Congo,26,16,W,AfricanChampionship,2008,Angola,Ivory Coast
2008/01/10,Tunisia,Cameroon,23,23,W,AfricanChampionship,2008,Angola,Draw
2008/01/11,Ivory Coast,Tunisia,24,24,W,AfricanChampionship,2008,Angola,Draw
2008/01/11,DR Congo,Cameroon,29,24,W,AfricanChampionship,2008,Angola,DR Congo
2008/01/12,Tunisia,DR Congo,40,25,W,AfricanChampionship,2008,Angola,Tunisia
2008/01/12,Ivory Coast,Cameroon,27,15,W,AfricanChampionship,2008,Angola,Ivory Coast
2008/01/14,DR Congo,Gabon,21,11,W,AfricanChampionship,2008,Angola,DR Congo
2008/01/14,Algeria,Cameroon,34,32,W,AfricanChampionship,2008,Angola,Algeria
2008/01/15,Ivory Coast,Congo,29,28,W,AfricanChampionship,2008,Angola,Ivory Coast
2008/01/15,Angola,Tunisia,44,26,W,AfricanChampionship,2008,Angola,Angola
2008/01/15,Cameroon,Gabon,25,22,W,AfricanChampionship,2008,Angola,Cameroon
2008/01/15,DR Congo,Algeria,32,28,W,AfricanChampionship,2008,Angola,DR Congo
2008/01/16,Congo,Tunisia,30,25,W,AfricanChampionship,2008,Angola,Congo
2008/01/16,Angola,Ivory Coast,39,27,W,AfricanChampionship,2008,Angola,Angola
2010/02/11,Ivory Coast,Algeria,22,19,W,AfricanChampionship,2010,Egypt,Ivory Coast
2010/02/11,Tunisia,Cameroon,25,19,W,AfricanChampionship,2010,Egypt,Tunisia
2010/02/12,Cameroon,Ivory Coast,15,17,W,AfricanChampionship,2010,Egypt,Ivory Coast
2010/02/12,Algeria,Tunisia,20,35,W,AfricanChampionship,2010,Egypt,Tunisia
2010/02/13,Cameroon,Algeria,23,24,W,AfricanChampionship,2010,Egypt,Algeria
2010/02/13,Ivory Coast,Tunisia,27,31,W,AfricanChampionship,2010,Egypt,Tunisia
2010/02/11,Congo,Congo DR,37,31,W,AfricanChampionship,2010,Egypt,Congo
2010/02/11,Angola,Egypt,32,21,W,AfricanChampionship,2010,Egypt,Angola
2010/02/12,Congo DR,Angola,15,24,W,AfricanChampionship,2010,Egypt,Angola
2010/02/12,Egypt,Congo,27,27,W,AfricanChampionship,2010,Egypt,Draw
2010/02/13,Angola,Congo,25,25,W,AfricanChampionship,2010,Egypt,Draw
2010/02/13,Congo DR,Egypt,29,29,W,AfricanChampionship,2010,Egypt,Draw
2010/02/16,Egypt,Cameroon,31,27,W,AfricanChampionship,2010,Egypt,Egypt
2010/02/16,Congo,Congo DR,29,24,W,AfricanChampionship,2010,Egypt,Congo
2010/02/18,Cameroon,Congo DR,30,28,W,AfricanChampionship,2010,Egypt,Cameroon
2010/02/18,Egypt,Congo,26,29,W,AfricanChampionship,2010,Egypt,Congo
2010/02/15,Cameroon,Angola,17,30,W,AfricanChampionship,2010,Egypt,Angola
2010/02/15,Ivory Coast,Egypt,38,32,W,AfricanChampionship,2010,Egypt,Ivory Coast
2010/02/15,Tunisia,Congo DR,40,23,W,AfricanChampionship,2010,Egypt,Tunisia
2010/02/15,Congo,Algeria,26,27,W,AfricanChampionship,2010,Egypt,Algeria
2010/02/18,Angola,Ivory Coast,27,24,W,AfricanChampionship,2010,Egypt,Angola
2010/02/18,Tunisia,Algeria,36,16,W,AfricanChampionship,2010,Egypt,Tunisia
2010/02/20,Ivory Coast,Algeria,32,28,W,AfricanChampionship,2010,Egypt,Ivory Coast
2010/02/20,Angola,Tunisia,31,30,W,AfricanChampionship,2010,Egypt,Angola
2012/01/11,Ivory Coast,Egypt,28,16,W,AfricanChampionship,2012,Morocco,Ivory Coast
2012/01/11,Cameroon,DR Congo,24,26,W,AfricanChampionship,2012,Morocco,DR Congo
2012/01/12,Angola,Ivory Coast,25,23,W,AfricanChampionship,2012,Morocco,Angola
2012/01/12,Egypt,Cameroon,24,27,W,AfricanChampionship,2012,Morocco,Cameroon
2012/01/13,DR Congo,Egypt,23,23,W,AfricanChampionship,2012,Morocco,Draw
2012/01/13,Cameroon,Angola,18,24,W,AfricanChampionship,2012,Morocco,Angola
2012/01/15,Angola,DR Congo,40,15,W,AfricanChampionship,2012,Morocco,Angola
2012/01/15,Ivory Coast,Cameroon,19,26,W,AfricanChampionship,2012,Morocco,Cameroon
2012/01/16,DR Congo,Ivory Coast,28,28,W,AfricanChampionship,2012,Morocco,Draw
2012/01/16,Egypt,Angola,23,36,W,AfricanChampionship,2012,Morocco,Angola
2012/01/11,Tunisia,Algeria,30,18,W,AfricanChampionship,2012,Morocco,Tunisia
2012/01/11,Senegal,Morocco,25,15,W,AfricanChampionship,2012,Morocco,Senegal
2012/01/12,Algeria,Senegal,25,17,W,AfricanChampionship,2012,Morocco,Algeria
2012/01/12,Morocco,Congo,16,34,W,AfricanChampionship,2012,Morocco,Congo
2012/01/13,Congo,Senegal,28,23,W,AfricanChampionship,2012,Morocco,Congo
2012/01/13,Morocco,Tunisia,8,35,W,AfricanChampionship,2012,Morocco,Tunisia
2012/01/15,Tunisia,Congo,26,22,W,AfricanChampionship,2012,Morocco,Tunisia
2012/01/15,Algeria,Morocco,31,7,W,AfricanChampionship,2012,Morocco,Algeria
2012/01/16,Congo,Algeria,20,23,W,AfricanChampionship,2012,Morocco,Algeria
2012/01/16,Senegal,Tunisia,30,32,W,AfricanChampionship,2012,Morocco,Tunisia
2012/01/18,Congo,DR Congo,19,29,W,AfricanChampionship,2012,Morocco,DR Congo
2012/01/18,Angola,Senegal,41,20,W,AfricanChampionship,2012,Morocco,Angola
2012/01/18,Algeria,Cameroon,23,22,W,AfricanChampionship,2012,Morocco,Algeria
2012/01/18,Ivory Coast,Tunisia,19,24,W,AfricanChampionship,2012,Morocco,Tunisia
2012/01/19,Cameroon,Ivory Coast,19,18,W,AfricanChampionship,2012,Morocco,Cameroon
2012/01/19,Senegal,Congo,22,25,W,AfricanChampionship,2012,Morocco,Congo
2012/01/19,Angola,DR Congo,39,19,W,AfricanChampionship,2012,Morocco,Angola
2012/01/19,Algeria,Tunisia,24,27,W,AfricanChampionship,2012,Morocco,Tunisia
2012/01/17,Egypt,Morocco,32,12,W,AfricanChampionship,2012,Morocco,Egypt
2012/01/20,Ivory Coast,Senegal,28,21,W,AfricanChampionship,2012,Morocco,Ivory Coast
2012/01/20,Cameroon,Congo,22,19,W,AfricanChampionship,2012,Morocco,Cameroon
2012/01/20,DR Congo,Algeria,33,24,W,AfricanChampionship,2012,Morocco,DR Congo
2012/01/20,Angola,Tunisia,26,24,W,AfricanChampionship,2012,Morocco,Angola
2014/01/16,Senegal,Algeria,27,27,W,AfricanChampionship,2014,Algeria,Draw
2014/01/16,Cameroon,DR Congo,20,25,W,AfricanChampionship,2014,Algeria,DR Congo
2014/01/17,Algeria,Cameroon,26,21,W,AfricanChampionship,2014,Algeria,Algeria
2014/01/17,DR Congo,Senegal,24,20,W,AfricanChampionship,2014,Algeria,DR Congo
